"Freq [GHz]","mag(S(Port1,Port1)) []"
1,0.52753472128569
1.1,0.525304057590333
1.2,0.522861016337327
1.3,0.520193338033947
1.4,0.517323900788197
1.5,0.514227315542333
1.6,0.510928896386796
1.7,0.507401251167263
1.8,0.503671726930677
1.9,0.499711416094884
2,0.495549382887783
2.1,0.491155629410428
2.2,0.486560695411284
2.3,0.481733866067353
2.4,0.476690361441041
2.5,0.471448924250797
2.6,0.465975840983039
2.7,0.460307139670648
2.8,0.454409247767817
2.9,0.44830082124583
3,0.442003619342175
3.1,0.435482238319008
3.2,0.428777406489486
3.3,0.421854585103061
3.4,0.414735798712106
3.5,0.407445763940206
3.6,0.399949167618747
3.7,0.39227049910642
3.8,0.384436704086739
3.9,0.376412252387067
4,0.36822400059897
4.1,0.359900984811355
4.2,0.351407955885533
4.3,0.342773954783547
4.4,0.334029879068104
4.5,0.325141178892487
4.6,0.316138794552298
4.7,0.307055153445886
4.8,0.297856728113985
4.9,0.288575964823803
5,0.279224103651816
5.1,0.269835709090841
5.2,0.260377392433317
5.3,0.25088359206797
5.4,0.241389215707669
5.5,0.231862348111477
5.6,0.222337637871031
5.7,0.212827892394073
5.8,0.203368276380751
5.9,0.193927488638758
6,0.184540234838193
6.1,0.175240630574872
6.2,0.165999042218618
6.3,0.156849045965693
6.4,0.147803102563611
6.5,0.138893922036275
6.6,0.130093126765944
6.7,0.121433018962598
6.8,0.1129256959983
6.9,0.10460239684896
7,0.0964374241309992
7.1,0.0884626363045544
7.2,0.0806917156767221
7.3,0.0731571051266522
7.4,0.0658411496823184
7.5,0.0587820860184231
7.6,0.0520063390362524
7.7,0.0455646436871284
7.8,0.0394768873723913
7.9,0.0338341589888276
8,0.0287535098469159
8.1,0.0244276471399393
8.2,0.0211014870107902
8.3,0.0191097716863571
8.4,0.0186736216328223
8.5,0.0197043244799668
8.6,0.0218337509984618
8.7,0.0246414964647776
8.8,0.0278059536001389
8.9,0.0311192031882595
9,0.0344462038031005
9.1,0.0377237864962608
9.2,0.0408961794065025
9.3,0.0439326786650357
9.4,0.0468066689368006
9.5,0.0495197584767674
9.6,0.0520570755680488
9.7,0.0544140752030209
9.8,0.0565885115032371
9.9,0.0585740551950123
10,0.0603830921483217
10.1,0.0620113439195254
10.2,0.0634612242082786
10.3,0.064731052493317
10.4,0.0658339163415102
10.5,0.0667688881312148
10.6,0.0675402553506467
10.7,0.0681526057056952
10.8,0.0686070397496928
10.9,0.0689162222319875
11,0.0690815795706054
11.1,0.0691085766955643
11.2,0.0690028488747326
11.3,0.068766963828032
11.4,0.0684133217640194
11.5,0.0679447750863091
11.6,0.067367573585888
11.7,0.0666881244603746
11.8,0.065909742350974
11.9,0.0650455761469849
12,0.0640994192699783
12.1,0.0630784523631981
12.2,0.0619901129374397
12.3,0.0608382068293574
12.4,0.0596383894196862
12.5,0.0583954319080875
12.6,0.0571182469193475
12.7,0.0558162645591141
12.8,0.0544942531958825
12.9,0.0531729922742636
13,0.0518590391456537
13.1,0.0505646389044694
13.2,0.0493029096686253
13.3,0.0480878763875896
13.4,0.0469268726740492
13.5,0.0458503552364966
13.6,0.0448676997570606
13.7,0.0439958525136068
13.8,0.0432518827709482
13.9,0.0426432099960294
14,0.042203950037351
14.1,0.0419394695552364
14.2,0.0418618697534376
14.3,0.0419804675825615
14.4,0.0423013450589917
14.5,0.0428175670447757
14.6,0.0435474786684377
14.7,0.0444773223206522
14.8,0.0456001101955721
14.9,0.0469065620240754
15,0.048378143850936
15.1,0.0500183241162578
15.2,0.051806437074879
15.3,0.0537295972262863
15.4,0.0557750572285954
15.5,0.0579304314925619
15.6,0.0601795424341828
15.7,0.0625201773489013
15.8,0.0649368355330015
15.9,0.0674194095813432
16,0.0699583574376494
16.1,0.0725446580667959
16.2,0.0751684544937756
16.3,0.0778246476536453
16.4,0.0805037294292588
16.5,0.0831982517149711
16.6,0.0859010426085141
16.7,0.0886057876609268
16.8,0.0913048456221672
16.9,0.0939919439325352
17,0.0966606872494911
17.1,0.0993048173387098
17.2,0.101918199021065
17.3,0.104497006142917
17.4,0.107031140739514
17.5,0.10951675607809
17.6,0.111948137467233
17.7,0.114319671522874
17.8,0.116625849104899
17.9,0.118861270018405
18,0.121023793257797
18.1,0.123102056107756
18.2,0.125094068239458
18.3,0.1269949402927
18.4,0.12879993490064
18.5,0.130504478171657
18.6,0.132107423057181
18.7,0.133598050664356
18.8,0.134975597035632
18.9,0.136236271006142
19,0.137376512380675
19.1,0.13839300731214
19.2,0.139285547379497
19.3,0.140045588476463
19.4,0.140673571547204
19.5,0.141167336526338
19.6,0.141525057969352
19.7,0.141745265581965
19.8,0.141828908256951
19.9,0.141771061680349
20,0.141573636688697
